i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),First Pass (m),Third Pass (m),Pass_3_minus_Pass_1 (m) joe (m)
1,10,31.6,-5.03,235.9557,46.0296,5452.2061,5483.8711,31.665
1,11,32.87,-5.03,236.2997,44.4782,5459.8985,5497.3419,37.4434
1,12,34.14,-5.03,236.6187,42.9429,5471.168,5516.8982,45.7302
1,13,35.41,-5.03,236.9152,41.4242,5483.0927,5538.7024,55.6097
1,14,36.68,-5.03,237.1916,39.9223,5494.1492,5557.3172,63.168
1,15,37.95,-5.03,237.4499,38.4376,5506.8085,5580.6959,73.8874
1,16,39.22,-5.03,237.6917,36.9705,5520.6214,5613.8297,93.2084
1,17,40.49,-5.03,237.9185,35.5211,5534.627,5638.3886,103.7616
1,18,41.76,-5.03,238.1318,34.0896,5548.4598,5658.8553,110.3956
1,19,43.03,-5.03,238.3327,32.6763,5564.2341,5686.3646,122.1305
1,20,44.3,-5.03,238.5221,31.2812,5577.3941,5708.3746,130.9805
1,21,45.57,-5.03,238.7012,29.9045,5587.8353,5719.1152,131.28
2,0,18.9,-3.76,233.7484,62.6686,5300.2087,5264.1321,-36.0766
2,1,20.17,-3.76,234.4404,60.9724,5314.4631,5285.8936,-28.5695
2,2,21.44,-3.76,235.053,59.2855,5331.2978,5302.967,-28.3308
2,3,22.71,-3.76,235.5991,57.6092,5349.2522,5332.5402,-16.712
2,4,23.98,-3.76,236.0887,55.9446,5366.7752,5360.3826,-6.3925
2,5,25.25,-3.76,236.5303,54.2926,5383.496,5385.3951,1.8991
2,6,26.52,-3.76,236.9304,52.6539,5398.8457,5406.5734,7.7277
2,7,27.79,-3.76,237.2946,51.0295,5413.0281,5429.957,16.929
2,8,29.06,-3.76,237.6276,49.4198,5426.5005,5445.1957,18.6952
2,9,30.33,-3.76,237.9331,47.8255,5437.8977,5452.8649,14.9672
2,10,31.6,-3.76,238.2144,46.2472,5446.4271,5463.3552,16.9281
2,11,32.87,-3.76,238.4743,44.6853,5453.668,5472.465,18.797
2,12,34.14,-3.76,238.7151,43.1402,5464.5641,5487.2109,22.6467
2,13,35.41,-3.76,238.9388,41.6122,5476.2853,5504.6168,28.3315
2,14,36.68,-3.76,239.1472,40.1017,5487.2842,5523.543,36.2589
2,15,37.95,-3.76,239.3417,38.609,5499.7639,5547.5358,47.7719
2,16,39.22,-3.76,239.5238,37.1343,5512.8806,5580.0523,67.1716
2,17,40.49,-3.76,239.6946,35.6778,5526.6308,5612.6323,86.0014
2,18,41.76,-3.76,239.8551,34.2397,5539.0745,5641.7942,102.7196
2,19,43.03,-3.76,240.0061,32.82,5553.6471,5668.762,115.1149
2,20,44.3,-3.76,240.1486,31.419,5568.5441,5693.1489,124.6049
2,21,45.57,-3.76,240.2832,30.0367,5580.4781,5716.896,136.4179
3,0,18.9,-2.49,237.4947,62.9514,5292.4009,5241.6334,-50.7676
3,1,20.17,-2.49,237.9624,61.2359,5306.7656,5260.4913,-46.2742
3,2,21.44,-2.49,238.3755,59.5318,5325.247,5284.4679,-40.7791
3,3,22.71,-2.49,238.7429,57.8401,5344.757,5310.5992,-34.1577
3,4,23.98,-2.49,239.0718,56.1616,5363.7393,5338.1597,-25.5796
3,5,25.25,-2.49,239.3681,54.4969,5379.486,5363.6427,-15.8433
3,6,26.52,-2.49,239.6361,52.8468,5394.6802,5385.739,-8.9413
3,7,27.79,-2.49,239.8799,51.2119,5408.8382,5403.0192,-5.819
3,8,29.06,-2.49,240.1026,49.5926,5420.7748,5410.0681,-10.7067
3,9,30.33,-2.49,240.3067,47.9894,5432.874,5423.4489,-9.425
3,10,31.6,-2.49,240.4945,46.4029,5441.9346,5427.1929,-14.7416
3,11,32.87,-2.49,240.6679,44.8333,5448.8568,5432.9249,-15.932
3,12,34.14,-2.49,240.8285,43.2811,5458.797,5448.346,-10.4509
3,13,35.41,-2.49,240.9776,41.7466,5469.4161,5459.6388,-9.7773
3,14,36.68,-2.49,241.1165,40.2299,5480.68,5480.1687,-0.5113
3,15,37.95,-2.49,241.2461,38.7314,5492.1072,5505.1288,13.0215
3,16,39.22,-2.49,241.3673,37.2513,5504.5084,5527.8022,23.2938
3,17,40.49,-2.49,241.4809,35.7897,5517.805,5567.2559,49.4509
3,18,41.76,-2.49,241.5877,34.3468,5530.2828,5607.724,77.4411
3,19,43.03,-2.49,241.6882,32.9226,5542.737,5641.8698,99.1327
3,20,44.3,-2.49,241.7829,31.5173,5556.4893,5668.9955,112.5062
3,21,45.57,-2.49,241.8724,30.1309,5570.412,5696.9813,126.5694
4,0,18.9,-1.22,241.3067,63.1209,5282.6453,5222.9181,-59.7272
4,1,20.17,-1.22,241.5386,61.3936,5297.9543,5239.9819,-57.9724
4,2,21.44,-1.22,241.7432,59.6792,5316.0768,5262.441,-53.6358
4,3,22.71,-1.22,241.925,57.9781,5337.3529,5290.7968,-46.5561
4,4,23.98,-1.22,242.0875,56.2912,5359.4961,5324.9841,-34.512
4,5,25.25,-1.22,242.2338,54.619,5375.3997,5351.2514,-24.1482
4,6,26.52,-1.22,242.3661,52.962,5391.7931,5373.6346,-18.1585
4,7,27.79,-1.22,242.4863,51.3207,5406.7482,5387.174,-19.5742
4,8,29.06,-1.22,242.596,49.6956,5418.3198,5386.1944,-32.1254
4,9,30.33,-1.22,242.6966,48.0871,5430.0828,5393.5249,-36.5579
4,10,31.6,-1.22,242.789,46.4957,5439.8072,5396.5346,-43.2726
4,11,32.87,-1.22,242.8744,44.9215,5445.6398,5396.4935,-49.1463
4,12,34.14,-1.22,242.9534,43.3651,5454.1974,5405.8537,-48.3438
4,13,35.41,-1.22,243.0267,41.8266,5464.3971,5423.6685,-40.7286
4,14,36.68,-1.22,243.095,40.3062,5474.5879,5440.5063,-34.0816
4,15,37.95,-1.22,243.1587,38.8043,5485.1797,5461.4925,-23.6872
4,16,39.22,-1.22,243.2183,37.3209,5496.8058,5479.2679,-17.5379
4,17,40.49,-1.22,243.2741,35.8563,5509.3912,5526.8033,17.4121
4,18,41.76,-1.22,243.3266,34.4105,5521.4227,5574.673,53.2503
4,19,43.03,-1.22,243.376,32.9837,5534.4113,5615.0452,80.6339
4,20,44.3,-1.22,243.4225,31.5758,5546.6309,5647.0749,100.4441
4,21,45.57,-1.22,243.4664,30.187,5558.9017,5670.6032,111.7015
5,0,18.9,0.05,245.1516,63.1746,5270.752,5199.0922,-71.6597
5,1,20.17,0.05,245.142,61.4436,5287.7596,5222.567,-65.1925
5,2,21.44,0.05,245.1336,59.7258,5307.1841,5248.4028,-58.7813
5,3,22.71,0.05,245.1261,58.0218,5329.6489,5278.6044,-51.0445
5,4,23.98,0.05,245.1195,56.3322,5351.3467,5313.8641,-37.4826
5,5,25.25,0.05,245.1135,54.6576,5371.7222,5343.1966,-28.5256
5,6,26.52,0.05,245.108,52.9984,5391.6697,5368.3235,-23.3462
5,7,27.79,0.05,245.1031,51.3551,5407.144,5380.7671,-26.3769
5,8,29.06,0.05,245.0986,49.7282,5419.1872,5382.0273,-37.16
5,9,30.33,0.05,245.0945,48.118,5430.3131,5386.1036,-44.2095
5,10,31.6,0.05,245.0907,46.525,5440.0933,5389.4206,-50.6726
5,11,32.87,0.05,245.0872,44.9494,5445.1407,5386.2107,-58.93
5,12,34.14,0.05,245.0839,43.3916,5452.2916,5391.2353,-61.0563
5,13,35.41,0.05,245.0809,41.8519,5461.3317,5407.9321,-53.3996
5,14,36.68,0.05,245.0781,40.3304,5470.4962,5422.7666,-47.7296
5,15,37.95,0.05,245.0755,38.8273,5479.7295,5438.3107,-41.4187
5,16,39.22,0.05,245.073,37.3429,5490.0464,5455.2694,-34.777
5,17,40.49,0.05,245.0708,35.8773,5501.5329,5488.6962,-12.8367
5,18,41.76,0.05,245.0686,34.4306,5512.819,5537.4472,24.6282
5,19,43.03,0.05,245.0666,33.0029,5525.0357,5586.1079,61.0722
5,20,44.3,0.05,245.0647,31.5943,5538.4842,5628.9231,90.4389
5,21,45.57,0.05,245.0629,30.2048,5550.7204,5652.4592,101.7388
6,0,18.9,1.32,248.9951,63.1117,5258.2649,5176.4756,-81.7893
6,1,20.17,1.32,248.7443,61.3851,5277.6109,5203.7199,-73.891
6,2,21.44,1.32,248.5231,59.6712,5298.5764,5233.8372,-64.7392
6,3,22.71,1.32,248.3265,57.9707,5321.9796,5266.4019,-55.5777
6,4,23.98,1.32,248.1507,56.2842,5345.1169,5303.3262,-41.7907
6,5,25.25,1.32,247.9925,54.6124,5371.3881,5341.6903,-29.6978
6,6,26.52,1.32,247.8495,52.9557,5393.3487,5367.4245,-25.9243
6,7,27.79,1.32,247.7195,51.3148,5409.5756,5381.9013,-27.6743
6,8,29.06,1.32,247.6008,49.69,5423.6277,5387.2635,-36.3642
6,9,30.33,1.32,247.492,48.0819,5433.2795,5391.7936,-41.4858
6,10,31.6,1.32,247.392,46.4907,5441.627,5394.2374,-47.3895
6,11,32.87,1.32,247.2997,44.9168,5446.0613,5394.5515,-51.5098
6,12,34.14,1.32,247.2142,43.3606,5452.5076,5398.6217,-53.8859
6,13,35.41,1.32,247.1349,41.8223,5460.5098,5405.5798,-54.93
6,14,36.68,1.32,247.061,40.3021,5468.205,5414.9722,-53.2328
6,15,37.95,1.32,246.9921,38.8004,5476.1236,5423.8732,-52.2504
6,16,39.22,1.32,246.9276,37.3172,5485.3654,5440.2458,-45.1196
6,17,40.49,1.32,246.8672,35.8527,5495.5494,5464.5897,-30.9597
6,18,41.76,1.32,246.8105,34.4071,5505.3107,5514.2777,8.967
6,19,43.03,1.32,246.7571,32.9804,5516.2475,5559.7276,43.4801
6,20,44.3,1.32,246.7067,31.5727,5530.7689,5600.0586,69.2897
6,21,45.57,1.32,246.6592,30.184,5547.0973,5628.6008,81.5034
7,0,18.9,2.59,252.803,62.9332,5249.0662,5160.3926,-88.6736
7,1,20.17,2.59,252.3172,61.2189,5270.4308,5189.4912,-80.9396
7,2,21.44,2.59,251.8881,59.516,5292.9654,5223.8917,-69.0737
7,3,22.71,2.59,251.5063,57.8253,5318.9505,5257.9081,-61.0424
7,4,23.98,2.59,251.1644,56.1477,5348.0499,5301.5582,-46.4918
7,5,25.25,2.59,250.8566,54.4838,5377.4579,5345.0271,-32.4308
7,6,26.52,2.59,250.5779,52.8345,5399.076,5372.0775,-26.9985
7,7,27.79,2.59,250.3245,51.2002,5416.7369,5391.3497,-25.3872
7,8,29.06,2.59,250.0931,49.5815,5431.0631,5404.6035,-26.4596
7,9,30.33,2.59,249.8809,47.9789,5440.6144,5411.8949,-28.7195
7,10,31.6,2.59,249.6856,46.3929,5446.7328,5416.4724,-30.2604
7,11,32.87,2.59,249.5053,44.8238,5450.3646,5416.8868,-33.4778
7,12,34.14,2.59,249.3384,43.2721,5454.7134,5414.1575,-40.5559
7,13,35.41,2.59,249.1833,41.7379,5461.7783,5417.1294,-44.6489
7,14,36.68,2.59,249.039,40.2217,5468.5089,5420.0515,-48.4574
7,15,37.95,2.59,248.9043,38.7236,5474.8903,5424.5073,-50.383
7,16,39.22,2.59,248.7782,37.2438,5482.7508,5435.2514,-47.4995
7,17,40.49,2.59,248.66,35.7825,5492.7665,5462.7977,-29.9688
7,18,41.76,2.59,248.549,34.3399,5502.6217,5507.4695,4.8478
7,19,43.03,2.59,248.4445,32.9161,5513.8912,5549.3068,35.4156
7,20,44.3,2.59,248.346,31.511,5529.8871,5583.2469,53.3598
7,21,45.57,2.59,248.2529,30.1249,5547.6889,5613.7442,66.0554
8,0,18.9,3.86,256.5429,62.6416,5243.1245,5179.6835,-63.441
8,1,20.17,3.86,255.8339,60.9472,5269.3564,5192.5511,-76.8053
8,2,21.44,3.86,255.206,59.262,5297.3526,5225.7747,-71.5779
8,3,22.71,3.86,254.6463,57.5872,5326.6112,5267.424,-59.1873
8,4,23.98,3.86,254.1443,55.9239,5358.4932,5311.1398,-47.3534
8,5,25.25,3.86,253.6916,54.273,5386.4591,5348.026,-38.4331
8,6,26.52,3.86,253.2813,52.6355,5409.5605,5380.7608,-28.7997
8,7,27.79,3.86,252.9077,51.012,5428.3062,5406.1675,-22.1388
8,8,29.06,3.86,252.5662,49.4033,5441.5154,5422.0477,-19.4677
8,9,30.33,3.86,252.2529,47.8099,5451.2225,5432.0113,-19.2111
8,10,31.6,3.86,251.9643,46.2323,5457.3458,5435.7768,-21.5691
8,11,32.87,3.86,251.6977,44.6711,5460.2726,5435.7456,-24.527
8,12,34.14,3.86,251.4507,43.1267,5463.8451,5434.9648,-28.8803
8,13,35.41,3.86,251.2212,41.5993,5469.3799,5428.8642,-40.5157
8,14,36.68,3.86,251.0074,40.0894,5474.5236,5427.4298,-47.0938
8,15,37.95,3.86,250.8077,38.5973,5479.808,5428.4903,-51.3178
8,16,39.22,3.86,250.6209,37.1231,5487.6793,5430.6977,-56.9817
8,17,40.49,3.86,250.4457,35.6671,5495.9559,5452.8537,-43.1022
8,18,41.76,3.86,250.281,34.2294,5505.0081,5493.9436,-11.0645
8,19,43.03,3.86,250.126,32.8102,5516.9345,5532.4983,15.5638
8,20,44.3,3.86,249.9798,31.4096,5531.132,5566.7785,35.6465
8,21,45.57,3.86,249.8417,30.0276,5550.2351,5597.0878,46.8527
9,0,18.9,5.13,260.1858,62.241,5242.547,5186.1306,-56.4164
9,1,20.17,5.13,259.2699,60.5734,5269.7089,5219.4787,-50.2302
9,2,21.44,5.13,258.4563,58.9121,5301.8543,5253.6669,-48.1874
9,3,22.71,5.13,257.729,57.2588,5336.4359,5284.972,-51.4638
9,4,23.98,5.13,257.0752,55.615,5373.0143,5325.6726,-47.3417
9,5,25.25,5.13,256.4844,53.9818,5400.5832,5362.0811,-38.5021
9,6,26.52,5.13,255.948,52.3604,5424.1787,5396.0868,-28.0919
9,7,27.79,5.13,255.459,50.7517,5443.0656,5425.4027,-17.6629
9,8,29.06,5.13,255.0114,49.1566,5455.5341,5443.8857,-11.6484
9,9,30.33,5.13,254.6001,47.5758,5466.5606,5456.6239,-9.9367
9,10,31.6,5.13,254.2211,46.0099,5470.5831,5456.9514,-13.6317
9,11,32.87,5.13,253.8706,44.4595,5473.6364,5455.0151,-18.6213
9,12,34.14,5.13,253.5455,42.9251,5476.975,5446.0488,-30.9262
9,13,35.41,5.13,253.2433,41.4071,5480.2773,5436.7585,-43.5188
9,14,36.68,5.13,252.9616,39.906,5483.8207,5429.3663,-54.4544
9,15,37.95,5.13,252.6985,38.4221,5490.066,5427.6258,-62.4402
9,16,39.22,5.13,252.452,36.9556,5497.0156,5429.246,-67.7697
9,17,40.49,5.13,252.2208,35.5069,5503.7088,5435.455,-68.2538
9,18,41.76,5.13,252.0034,34.076,5511.6308,5473.6416,-37.9892
9,19,43.03,5.13,251.7987,32.6633,5525.4021,5513.5478,-11.8543
9,20,44.3,5.13,251.6055,31.2687,5541.9454,5552.4794,10.534
9,21,45.57,5.13,251.423,29.8925,5561.02,5582.1078,21.0878
10,0,18.9,6.4,263.7074,61.7369,5241.8955,5186.8465,-55.049
10,1,20.17,6.4,262.6044,60.1021,5275.4473,5225.9568,-49.4905
10,2,21.44,6.4,261.6208,58.4702,5309.2417,5263.1086,-46.133
10,3,22.71,6.4,260.7386,56.8435,5348.4315,5302.5294,-45.9021
10,4,23.98,6.4,259.9433,55.2238,5386.5573,5340.9281,-45.6291
10,5,25.25,6.4,259.223,53.6126,5417.1142,5380.1077,-37.0065
10,6,26.52,6.4,258.5676,52.0114,5442.5212,5415.1817,-27.3396
10,7,27.79,6.4,257.969,50.4212,5461.5138,5448.3078,-13.206
10,8,29.06,6.4,257.4202,48.8432,5475.2308,5471.501,-3.7298
10,9,30.33,6.4,256.9153,47.2781,5484.2531,5481.1033,-3.1498
10,10,31.6,6.4,256.4493,45.7269,5489.5573,5482.0294,-7.5279
10,11,32.87,6.4,256.018,44.1901,5492.4935,5476.7721,-15.7214
10,12,34.14,6.4,255.6176,42.6684,5494.5817,5465.5248,-29.0569
10,13,35.41,6.4,255.245,41.1623,5497.0335,5453.2983,-43.7353
10,14,36.68,6.4,254.8974,39.6723,5500.358,5441.5308,-58.8272
10,15,37.95,6.4,254.5725,38.1987,5506.3314,5434.9917,-71.3397
10,16,39.22,6.4,254.268,36.7421,5512.4372,5426.8401,-85.5971
10,17,40.49,6.4,253.9821,35.3025,5521.0538,5426.1305,-94.9234
10,18,41.76,6.4,253.7132,33.8803,5529.4585,5457.8474,-71.6111
10,19,43.03,6.4,253.4598,32.4757,5543.4258,5501.814,-41.6118
10,20,44.3,6.4,253.2206,31.0889,5559.8031,5539.7961,-20.007
10,21,45.57,6.4,252.9945,29.72,5579.6787,5571.111,-8.5677
11,0,18.9,7.67,267.0883,61.1356,5250.601,5189.6413,-60.9597
11,1,20.17,7.67,265.8202,59.5386,5281.9321,5231.2086,-50.7236
11,2,21.44,7.67,264.6843,57.9409,5320.2387,5279.405,-40.8338
11,3,22.71,7.67,263.6617,56.3452,5362.5884,5323.3887,-39.1997
11,4,23.98,7.67,262.7369,54.7538,5400.6556,5359.4389,-41.2167
11,5,25.25,7.67,261.8968,53.1686,5432.6791,5396.4982,-36.1809
11,6,26.52,7.67,261.1307,51.5911,5461.0977,5434.6808,-26.4169
11,7,27.79,7.67,260.4294,50.0229,5482.6595,5472.7725,-9.8871
11,8,29.06,7.67,259.7853,48.4651,5496.6651,5498.8185,2.1534
11,9,30.33,7.67,259.1917,46.9188,5505.0885,5508.161,3.0725
11,10,31.6,7.67,258.6431,45.385,5510.092,5508.3394,-1.7526
11,11,32.87,7.67,258.1346,43.8644,5513.3675,5503.8133,-9.5542
11,12,34.14,7.67,257.662,42.3579,5517.3817,5493.7058,-23.6759
11,13,35.41,7.67,257.2218,40.866,5521.4473,5481.5891,-39.8583
11,14,36.68,7.67,256.8107,39.3893,5526.0385,5471.188,-54.8505
11,15,37.95,7.67,256.426,37.9283,5530.0433,5453.9024,-76.1409
11,16,39.22,7.67,256.0653,36.4833,5537.6049,5432.429,-105.1758
11,17,40.49,7.67,255.7264,35.0548,5546.2203,5428.5787,-117.6416
11,18,41.76,7.67,255.4074,33.6431,5556.9033,5461.391,-95.5124
11,19,43.03,7.67,255.1067,32.2483,5570.4305,5499.368,-71.0625
11,20,44.3,7.67,254.8227,30.8708,5584.3211,5533.1495,-51.1716
11,21,45.57,7.67,254.554,29.5107,5602.3749,5571.2603,-31.1146
12,0,18.9,8.94,270.3149,60.4442,5260.3675,5179.0378,-81.3297
12,1,20.17,8.94,268.9045,58.8889,5288.262,5222.5733,-65.6887
12,2,21.44,8.94,267.635,57.3293,5329.2416,5282.4172,-46.8244
12,3,22.71,8.94,266.4875,55.7685,5377.4894,5344.7443,-32.7452
12,4,23.98,8.94,265.446,54.2089,5414.4448,5375.276,-39.1689
12,5,25.25,8.94,264.497,52.653,5451.1448,5415.5636,-35.5813
12,6,26.52,8.94,263.6292,51.1026,5484.7492,5457.865,-26.8842
12,7,27.79,8.94,262.8329,49.5593,5506.405,5493.9183,-12.4867
12,8,29.06,8.94,262.1,48.0247,5518.7523,5519.3343,0.582
12,9,30.33,8.94,261.4233,46.4999,5527.5928,5534.5545,6.9616
12,10,31.6,8.94,260.7968,44.9861,5533.5444,5538.3588,4.8143
12,11,32.87,8.94,260.2153,43.4843,5537.6806,5535.8373,-1.8432
12,12,34.14,8.94,259.6741,41.9953,5542.9692,5527.7571,-15.2121
12,13,35.41,8.94,259.1694,40.5197,5547.2708,5516.2727,-30.9982
12,14,36.68,8.94,258.6976,39.0584,5552.233,5502.4926,-49.7404
12,15,37.95,8.94,258.2557,37.6118,5559.3527,5484.4889,-74.8638
12,16,39.22,8.94,257.8409,36.1805,5566.8551,5460.3511,-106.504
12,17,40.49,8.94,257.4509,34.7648,5575.3081,5451.4953,-123.8128
12,18,41.76,8.94,257.0835,33.3652,5586.0003,5472.5388,-113.4615
12,19,43.03,8.94,256.7369,31.9819,5599.1303,5517.7369,-81.3934
12,20,44.3,8.94,256.4094,30.6152,5612.4936,5557.4419,-55.0517
12,21,45.57,8.94,256.0994,29.2654,5628.6977,5594.0535,-34.6441
13,0,18.9,10.21,273.3784,59.67,5266.8073,5139.4515,-127.3558
13,1,20.17,10.21,271.8484,58.1597,5295.2188,5210.1666,-85.0523
13,2,21.44,10.21,270.4644,56.6412,5340.8601,5281.5375,-59.3226
13,3,22.71,10.21,269.2078,55.1182,5391.3412,5347.0701,-44.2711
13,4,23.98,10.21,268.0629,53.5936,5433.8846,5394.1036,-39.781
13,5,25.25,10.21,267.0163,52.0698,5473.7707,5439.167,-34.6037
13,6,26.52,10.21,266.0563,50.5492,5507.2647,5480.6836,-26.581
13,7,27.79,10.21,265.1732,49.0336,5527.1338,5509.4961,-17.6376
13,8,29.06,10.21,264.3585,47.5247,5539.5991,5537.2503,-2.3489
13,9,30.33,10.21,263.6048,46.0239,5550.5275,5558.3374,7.8099
13,10,31.6,10.21,262.9057,44.5325,5558.0794,5568.3357,10.2563
13,11,32.87,10.21,262.2557,43.0516,5564.2797,5570.7173,6.4376
13,12,34.14,10.21,261.65,41.5822,5569.8721,5567.0649,-2.8072
13,13,35.41,10.21,261.0842,40.1251,5574.9196,5558.8721,-16.0475
13,14,36.68,10.21,260.5547,38.681,5580.6563,5545.3338,-35.3225
13,15,37.95,10.21,260.0582,37.2507,5588.9216,5526.4628,-62.4588
13,16,39.22,10.21,259.5917,35.8348,5597.3134,5512.3332,-84.9802
13,17,40.49,10.21,259.1527,34.4336,5606.1963,5508.0612,-98.1351
13,18,41.76,10.21,258.7389,33.0476,5616.3461,5521.5163,-94.8298
13,19,43.03,10.21,258.3481,31.6773,5628.2683,5562.2789,-65.9894
13,20,44.3,10.21,257.9786,30.3229,5640.159,5603.646,-36.513
13,21,45.57,10.21,257.6286,28.9847,5656.3183,5645.9282,-10.3901
14,0,18.9,11.48,276.2748,58.8207,5272.3296,5074.616,-197.7136
14,1,20.17,11.48,274.6469,57.3574,5307.4322,5158.7806,-148.6517
14,2,21.44,11.48,273.1667,55.8824,5356.2194,5279.8768,-76.3426
14,3,22.71,11.48,271.8168,54.3996,5407.1572,5348.2711,-58.8861
14,4,23.98,11.48,270.5819,52.9123,5453.7413,5414.5467,-39.1945
14,5,25.25,11.48,269.4491,51.4231,5494.8674,5459.3079,-35.5595
14,6,26.52,11.48,268.4069,49.9347,5526.7611,5498.4722,-28.2889
14,7,27.79,11.48,267.4454,48.4491,5550.4504,5531.6449,-18.8055
14,8,29.06,11.48,266.5562,46.9681,5563.0036,5557.4561,-5.5475
14,9,30.33,11.48,265.7318,45.4934,5575.5684,5581.396,5.8276
14,10,31.6,11.48,264.9656,44.0265,5582.6303,5595.5361,12.9058
14,11,32.87,11.48,264.252,42.5685,5590.0836,5601.1909,11.1073
14,12,34.14,11.48,263.5859,41.1206,5596.0385,5602.8716,6.8331
14,13,35.41,11.48,262.9628,39.6838,5602.7863,5602.4009,-0.3853
14,14,36.68,11.48,262.3789,38.2588,5610.045,5596.4011,-13.6439
14,15,37.95,11.48,261.8307,36.8465,5617.7995,5581.3386,-36.4609
14,16,39.22,11.48,261.3152,35.4475,5626.3064,5570.3025,-56.0039
14,17,40.49,11.48,260.8295,34.0624,5635.429,5573.1308,-62.2982
14,18,41.76,11.48,260.3711,32.6917,5644.7522,5588.331,-56.4212
14,19,43.03,11.48,259.938,31.3357,5655.2494,5623.0984,-32.151
14,20,44.3,11.48,259.5282,29.995,5668.5144,5667.2442,-1.2701
14,21,45.57,11.48,259.1397,28.6697,5685.1196,5710.0748,24.9552
15,0,18.9,12.75,279.0037,57.9037,5283.8626,5076.8024,-207.0603
15,1,20.17,12.75,277.2981,56.4888,5322.9258,5152.2398,-170.6861
15,2,21.44,12.75,275.7392,55.0589,5371.5413,5273.0797,-98.4616
15,3,22.71,12.75,274.311,53.618,5425.3473,5364.061,-61.2863
15,4,23.98,12.75,272.9993,52.1698,5474.7778,5433.9668,-40.811
15,5,25.25,12.75,271.7915,50.7172,5518.6971,5483.1772,-35.52
15,6,26.52,12.75,270.6768,49.2628,5548.4984,5517.0442,-31.4542
15,7,27.79,12.75,269.6456,47.8091,5572.7859,5548.3195,-24.4664
15,8,29.06,12.75,268.6893,46.358,5589.1972,5574.4483,-14.7488
15,9,30.33,12.75,267.8007,44.9113,5599.1176,5597.1019,-2.0157
15,10,31.6,12.75,266.9731,43.4707,5607.9182,5617.0346,9.1164
15,11,32.87,12.75,266.2009,42.0374,5617.1693,5631.1179,13.9485
15,12,34.14,12.75,265.4788,40.6128,5623.656,5639.2914,15.6354
15,13,35.41,12.75,264.8023,39.1978,5630.4774,5643.8859,13.4085
15,14,36.68,12.75,264.1675,37.7936,5637.8616,5641.1119,3.2503
15,15,37.95,12.75,263.5707,36.4008,5646.0775,5637.6848,-8.3928
15,16,39.22,12.75,263.0088,35.0203,5654.9873,5633.7879,-21.1994
15,17,40.49,12.75,262.4788,33.6526,5663.6703,5640.4326,-23.2377
15,18,41.76,12.75,261.9783,32.2985,5671.9106,5655.2228,-16.6878
15,19,43.03,12.75,261.5048,30.9582,5681.3827,5689.0733,7.6906
