i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),Observation in Radius (count),500mb Height Analysis (m),dmin (~2.55),dminScaler
5,14,36.68,0.05,245.0781,40.3304,30,5470.4962,2.5549,4
5,15,37.95,0.05,245.0755,38.8273,29,5479.7295,2.5549,4
5,16,39.22,0.05,245.073,37.3429,27,5490.0464,2.5549,4
5,17,40.49,0.05,245.0708,35.8773,24,5501.5329,2.5549,4
5,18,41.76,0.05,245.0686,34.4306,21,5512.819,2.5549,4
5,19,43.03,0.05,245.0666,33.0029,20,5525.0357,2.5549,4
5,20,44.3,0.05,245.0647,31.5943,15,5538.4842,2.5549,4
5,21,45.57,0.05,245.0629,30.2048,15,5550.7204,2.5549,4
6,0,18.9,1.32,248.9951,63.1117,14,5258.2649,2.5549,4
6,1,20.17,1.32,248.7443,61.3851,12,5277.6109,2.5549,4
6,2,21.44,1.32,248.5231,59.6712,16,5298.5764,2.5549,4
6,3,22.71,1.32,248.3265,57.9707,17,5321.9796,2.5549,4
6,4,23.98,1.32,248.1507,56.2842,18,5345.1169,2.5549,4
6,5,25.25,1.32,247.9925,54.6124,23,5371.3881,2.5549,4
6,6,26.52,1.32,247.8495,52.9557,23,5393.3487,2.5549,4
6,7,27.79,1.32,247.7195,51.3148,26,5409.5756,2.5549,4
6,8,29.06,1.32,247.6008,49.69,28,5423.6277,2.5549,4
6,9,30.33,1.32,247.492,48.0819,28,5433.2795,2.5549,4
6,10,31.6,1.32,247.392,46.4907,27,5441.627,2.5549,4
6,11,32.87,1.32,247.2997,44.9168,29,5446.0613,2.5549,4
6,12,34.14,1.32,247.2142,43.3606,33,5452.5076,2.5549,4
6,13,35.41,1.32,247.1349,41.8223,32,5460.5098,2.5549,4
6,14,36.68,1.32,247.061,40.3021,31,5468.205,2.5549,4
6,15,37.95,1.32,246.9921,38.8004,31,5476.1236,2.5549,4
6,16,39.22,1.32,246.9276,37.3172,29,5485.3654,2.5549,4
6,17,40.49,1.32,246.8672,35.8527,28,5495.5494,2.5549,4
6,18,41.76,1.32,246.8105,34.4071,22,5505.3107,2.5549,4
6,19,43.03,1.32,246.7571,32.9804,21,5516.2475,2.5549,4
6,20,44.3,1.32,246.7067,31.5727,20,5530.7689,2.5549,4
6,21,45.57,1.32,246.6592,30.184,18,5547.0973,2.5549,4
7,0,18.9,2.59,252.803,62.9332,13,5249.0662,2.5549,4
7,1,20.17,2.59,252.3172,61.2189,13,5270.4308,2.5549,4
7,2,21.44,2.59,251.8881,59.516,16,5292.9654,2.5549,4
7,3,22.71,2.59,251.5063,57.8253,18,5318.9505,2.5549,4
7,4,23.98,2.59,251.1644,56.1477,21,5348.0499,2.5549,4
7,5,25.25,2.59,250.8566,54.4838,21,5377.4579,2.5549,4
7,6,26.52,2.59,250.5779,52.8345,24,5399.076,2.5549,4
7,7,27.79,2.59,250.3245,51.2002,29,5416.7369,2.5549,4
7,8,29.06,2.59,250.0931,49.5815,30,5431.0631,2.5549,4
7,9,30.33,2.59,249.8809,47.9789,29,5440.6144,2.5549,4
7,10,31.6,2.59,249.6856,46.3929,31,5446.7328,2.5549,4
7,11,32.87,2.59,249.5053,44.8238,33,5450.3646,2.5549,4
7,12,34.14,2.59,249.3384,43.2721,36,5454.7134,2.5549,4
7,13,35.41,2.59,249.1833,41.7379,35,5461.7783,2.5549,4
7,14,36.68,2.59,249.039,40.2217,37,5468.5089,2.5549,4
7,15,37.95,2.59,248.9043,38.7236,34,5474.8903,2.5549,4
7,16,39.22,2.59,248.7782,37.2438,32,5482.7508,2.5549,4
7,17,40.49,2.59,248.66,35.7825,30,5492.7665,2.5549,4
7,18,41.76,2.59,248.549,34.3399,29,5502.6217,2.5549,4
7,19,43.03,2.59,248.4445,32.9161,24,5513.8912,2.5549,4
7,20,44.3,2.59,248.346,31.511,23,5529.8871,2.5549,4
7,21,45.57,2.59,248.2529,30.1249,19,5547.6889,2.5549,4
8,0,18.9,3.86,256.5429,62.6416,14,5243.1245,2.5549,4
8,1,20.17,3.86,255.8339,60.9472,14,5269.3564,2.5549,4
8,2,21.44,3.86,255.206,59.262,15,5297.3526,2.5549,4
8,3,22.71,3.86,254.6463,57.5872,16,5326.6112,2.5549,4
8,4,23.98,3.86,254.1443,55.9239,19,5358.4932,2.5549,4
8,5,25.25,3.86,253.6916,54.273,21,5386.4591,2.5549,4
8,6,26.52,3.86,253.2813,52.6355,24,5409.5605,2.5549,4
8,7,27.79,3.86,252.9077,51.012,29,5428.3062,2.5549,4
8,8,29.06,3.86,252.5662,49.4033,30,5441.5154,2.5549,4
8,9,30.33,3.86,252.2529,47.8099,30,5451.2225,2.5549,4
8,10,31.6,3.86,251.9643,46.2323,34,5457.3458,2.5549,4
8,11,32.87,3.86,251.6977,44.6711,32,5460.2726,2.5549,4
8,12,34.14,3.86,251.4507,43.1267,38,5463.8451,2.5549,4
8,13,35.41,3.86,251.2212,41.5993,38,5469.3799,2.5549,4
8,14,36.68,3.86,251.0074,40.0894,37,5474.5236,2.5549,4
8,15,37.95,3.86,250.8077,38.5973,38,5479.808,2.5549,4
8,16,39.22,3.86,250.6209,37.1231,38,5487.6793,2.5549,4
8,17,40.49,3.86,250.4457,35.6671,32,5495.9559,2.5549,4
8,18,41.76,3.86,250.281,34.2294,29,5505.0081,2.5549,4
8,19,43.03,3.86,250.126,32.8102,28,5516.9345,2.5549,4
8,20,44.3,3.86,249.9798,31.4096,24,5531.132,2.5549,4
8,21,45.57,3.86,249.8417,30.0276,21,5550.2351,2.5549,4
9,0,18.9,5.13,260.1858,62.241,12,5242.547,2.5549,4
9,1,20.17,5.13,259.2699,60.5734,14,5269.7089,2.5549,4
9,2,21.44,5.13,258.4563,58.9121,16,5301.8543,2.5549,4
9,3,22.71,5.13,257.729,57.2588,16,5336.4359,2.5549,4
9,4,23.98,5.13,257.0752,55.615,18,5373.0143,2.5549,4
9,5,25.25,5.13,256.4844,53.9818,18,5400.5832,2.5549,4
9,6,26.52,5.13,255.948,52.3604,24,5424.1787,2.5549,4
9,7,27.79,5.13,255.459,50.7517,27,5443.0656,2.5549,4
9,8,29.06,5.13,255.0114,49.1566,31,5455.5341,2.5549,4
9,9,30.33,5.13,254.6001,47.5758,33,5466.5606,2.5549,4
9,10,31.6,5.13,254.2211,46.0099,33,5470.5831,2.5549,4
9,11,32.87,5.13,253.8706,44.4595,36,5473.6364,2.5549,4
9,12,34.14,5.13,253.5455,42.9251,39,5476.975,2.5549,4
9,13,35.41,5.13,253.2433,41.4071,38,5480.2773,2.5549,4
9,14,36.68,5.13,252.9616,39.906,38,5483.8207,2.5549,4
9,15,37.95,5.13,252.6985,38.4221,39,5490.066,2.5549,4
9,16,39.22,5.13,252.452,36.9556,37,5497.0156,2.5549,4
9,17,40.49,5.13,252.2208,35.5069,34,5503.7088,2.5549,4
9,18,41.76,5.13,252.0034,34.076,31,5511.6308,2.5549,4
9,19,43.03,5.13,251.7987,32.6633,28,5525.4021,2.5549,4
9,20,44.3,5.13,251.6055,31.2687,28,5541.9454,2.5549,4
9,21,45.57,5.13,251.423,29.8925,25,5561.02,2.5549,4
10,0,18.9,6.4,263.7074,61.7369,15,5241.8955,2.5549,4
10,1,20.17,6.4,262.6044,60.1021,13,5275.4473,2.5549,4
10,2,21.44,6.4,261.6208,58.4702,16,5309.2417,2.5549,4
10,3,22.71,6.4,260.7386,56.8435,18,5348.4315,2.5549,4
10,4,23.98,6.4,259.9433,55.2238,19,5386.5573,2.5549,4
10,5,25.25,6.4,259.223,53.6126,23,5417.1142,2.5549,4
10,6,26.52,6.4,258.5676,52.0114,24,5442.5212,2.5549,4
10,7,27.79,6.4,257.969,50.4212,28,5461.5138,2.5549,4
10,8,29.06,6.4,257.4202,48.8432,30,5475.2308,2.5549,4
10,9,30.33,6.4,256.9153,47.2781,30,5484.2531,2.5549,4
10,10,31.6,6.4,256.4493,45.7269,35,5489.5573,2.5549,4
10,11,32.87,6.4,256.018,44.1901,37,5492.4935,2.5549,4
10,12,34.14,6.4,255.6176,42.6684,41,5494.5817,2.5549,4
10,13,35.41,6.4,255.245,41.1623,39,5497.0335,2.5549,4
10,14,36.68,6.4,254.8974,39.6723,43,5500.358,2.5549,4
10,15,37.95,6.4,254.5725,38.1987,42,5506.3314,2.5549,4
10,16,39.22,6.4,254.268,36.7421,40,5512.4372,2.5549,4
10,17,40.49,6.4,253.9821,35.3025,40,5521.0538,2.5549,4
10,18,41.76,6.4,253.7132,33.8803,36,5529.4585,2.5549,4
10,19,43.03,6.4,253.4598,32.4757,33,5543.4258,2.5549,4
10,20,44.3,6.4,253.2206,31.0889,29,5559.8031,2.5549,4
10,21,45.57,6.4,252.9945,29.72,24,5579.6787,2.5549,4
11,0,18.9,7.67,267.0883,61.1356,15,5250.601,2.5549,4
11,1,20.17,7.67,265.8202,59.5386,14,5281.9321,2.5549,4
11,2,21.44,7.67,264.6843,57.9409,15,5320.2387,2.5549,4
11,3,22.71,7.67,263.6617,56.3452,19,5362.5884,2.5549,4
11,4,23.98,7.67,262.7369,54.7538,17,5400.6556,2.5549,4
11,5,25.25,7.67,261.8968,53.1686,22,5432.6791,2.5549,4
11,6,26.52,7.67,261.1307,51.5911,26,5461.0977,2.5549,4
11,7,27.79,7.67,260.4294,50.0229,30,5482.6595,2.5549,4
11,8,29.06,7.67,259.7853,48.4651,33,5496.6651,2.5549,4
11,9,30.33,7.67,259.1917,46.9188,34,5505.0885,2.5549,4
11,10,31.6,7.67,258.6431,45.385,34,5510.092,2.5549,4
11,11,32.87,7.67,258.1346,43.8644,39,5513.3675,2.5549,4
11,12,34.14,7.67,257.662,42.3579,41,5517.3817,2.5549,4
11,13,35.41,7.67,257.2218,40.866,46,5521.4473,2.5549,4
11,14,36.68,7.67,256.8107,39.3893,45,5526.0385,2.5549,4
11,15,37.95,7.67,256.426,37.9283,44,5530.0433,2.5549,4
11,16,39.22,7.67,256.0653,36.4833,46,5537.6049,2.5549,4
11,17,40.49,7.67,255.7264,35.0548,39,5546.2203,2.5549,4
11,18,41.76,7.67,255.4074,33.6431,38,5556.9033,2.5549,4
11,19,43.03,7.67,255.1067,32.2483,38,5570.4305,2.5549,4
11,20,44.3,7.67,254.8227,30.8708,30,5584.3211,2.5549,4
11,21,45.57,7.67,254.554,29.5107,26,5602.3749,2.5549,4
12,0,18.9,8.94,270.3149,60.4442,13,5260.3675,2.5549,4
12,1,20.17,8.94,268.9045,58.8889,13,5288.262,2.5549,4
12,2,21.44,8.94,267.635,57.3293,18,5329.2416,2.5549,4
12,3,22.71,8.94,266.4875,55.7685,16,5377.4894,2.5549,4
12,4,23.98,8.94,265.446,54.2089,19,5414.4448,2.5549,4
12,5,25.25,8.94,264.497,52.653,24,5451.1448,2.5549,4
12,6,26.52,8.94,263.6292,51.1026,28,5484.7492,2.5549,4
12,7,27.79,8.94,262.8329,49.5593,30,5506.405,2.5549,4
12,8,29.06,8.94,262.1,48.0247,32,5518.7523,2.5549,4
12,9,30.33,8.94,261.4233,46.4999,35,5527.5928,2.5549,4
12,10,31.6,8.94,260.7968,44.9861,39,5533.5444,2.5549,4
12,11,32.87,8.94,260.2153,43.4843,40,5537.6806,2.5549,4
12,12,34.14,8.94,259.6741,41.9953,41,5542.9692,2.5549,4
12,13,35.41,8.94,259.1694,40.5197,44,5547.2708,2.5549,4
12,14,36.68,8.94,258.6976,39.0584,46,5552.233,2.5549,4
12,15,37.95,8.94,258.2557,37.6118,45,5559.3527,2.5549,4
12,16,39.22,8.94,257.8409,36.1805,44,5566.8551,2.5549,4
12,17,40.49,8.94,257.4509,34.7648,42,5575.3081,2.5549,4
12,18,41.76,8.94,257.0835,33.3652,39,5586.0003,2.5549,4
12,19,43.03,8.94,256.7369,31.9819,35,5599.1303,2.5549,4
12,20,44.3,8.94,256.4094,30.6152,31,5612.4936,2.5549,4
12,21,45.57,8.94,256.0994,29.2654,24,5628.6977,2.5549,4
13,0,18.9,10.21,273.3784,59.67,13,5266.8073,2.5549,4
13,1,20.17,10.21,271.8484,58.1597,13,5295.2188,2.5549,4
13,2,21.44,10.21,270.4644,56.6412,17,5340.8601,2.5549,4
13,3,22.71,10.21,269.2078,55.1182,17,5391.3412,2.5549,4
13,4,23.98,10.21,268.0629,53.5936,22,5433.8846,2.5549,4
13,5,25.25,10.21,267.0163,52.0698,26,5473.7707,2.5549,4
13,6,26.52,10.21,266.0563,50.5492,28,5507.2647,2.5549,4
13,7,27.79,10.21,265.1732,49.0336,30,5527.1338,2.5549,4
13,8,29.06,10.21,264.3585,47.5247,31,5539.5991,2.5549,4
13,9,30.33,10.21,263.6048,46.0239,37,5550.5275,2.5549,4
13,10,31.6,10.21,262.9057,44.5325,38,5558.0794,2.5549,4
13,11,32.87,10.21,262.2557,43.0516,41,5564.2797,2.5549,4
13,12,34.14,10.21,261.65,41.5822,44,5569.8721,2.5549,4
13,13,35.41,10.21,261.0842,40.1251,45,5574.9196,2.5549,4
13,14,36.68,10.21,260.5547,38.681,47,5580.6563,2.5549,4
13,15,37.95,10.21,260.0582,37.2507,47,5588.9216,2.5549,4
13,16,39.22,10.21,259.5917,35.8348,45,5597.3134,2.5549,4
13,17,40.49,10.21,259.1527,34.4336,42,5606.1963,2.5549,4
13,18,41.76,10.21,258.7389,33.0476,38,5616.3461,2.5549,4
13,19,43.03,10.21,258.3481,31.6773,34,5628.2683,2.5549,4
13,20,44.3,10.21,257.9786,30.3229,32,5640.159,2.5549,4
13,21,45.57,10.21,257.6286,28.9847,30,5656.3183,2.5549,4
14,0,18.9,11.48,276.2748,58.8207,13,5272.3296,2.5549,4
14,1,20.17,11.48,274.6469,57.3574,15,5307.4322,2.5549,4
14,2,21.44,11.48,273.1667,55.8824,17,5356.2194,2.5549,4
14,3,22.71,11.48,271.8168,54.3996,18,5407.1572,2.5549,4
14,4,23.98,11.48,270.5819,52.9123,23,5453.7413,2.5549,4
14,5,25.25,11.48,269.4491,51.4231,24,5494.8674,2.5549,4
14,6,26.52,11.48,268.4069,49.9347,29,5526.7611,2.5549,4
14,7,27.79,11.48,267.4454,48.4491,35,5550.4504,2.5549,4
14,8,29.06,11.48,266.5562,46.9681,38,5563.0036,2.5549,4
14,9,30.33,11.48,265.7318,45.4934,39,5575.5684,2.5549,4
14,10,31.6,11.48,264.9656,44.0265,42,5582.6303,2.5549,4
14,11,32.87,11.48,264.252,42.5685,44,5590.0836,2.5549,4
14,12,34.14,11.48,263.5859,41.1206,43,5596.0385,2.5549,4
14,13,35.41,11.48,262.9628,39.6838,45,5602.7863,2.5549,4
14,14,36.68,11.48,262.3789,38.2588,48,5610.045,2.5549,4
14,15,37.95,11.48,261.8307,36.8465,48,5617.7995,2.5549,4
14,16,39.22,11.48,261.3152,35.4475,46,5626.3064,2.5549,4
14,17,40.49,11.48,260.8295,34.0624,42,5635.429,2.5549,4
14,18,41.76,11.48,260.3711,32.6917,39,5644.7522,2.5549,4
14,19,43.03,11.48,259.938,31.3357,34,5655.2494,2.5549,4
14,20,44.3,11.48,259.5282,29.995,33,5668.5144,2.5549,4
14,21,45.57,11.48,259.1397,28.6697,27,5685.1196,2.5549,4
15,0,18.9,12.75,279.0037,57.9037,15,5283.8626,2.5549,4
15,1,20.17,12.75,277.2981,56.4888,16,5322.9258,2.5549,4
15,2,21.44,12.75,275.7392,55.0589,19,5371.5413,2.5549,4
15,3,22.71,12.75,274.311,53.618,21,5425.3473,2.5549,4
15,4,23.98,12.75,272.9993,52.1698,24,5474.7778,2.5549,4
15,5,25.25,12.75,271.7915,50.7172,26,5518.6971,2.5549,4
15,6,26.52,12.75,270.6768,49.2628,30,5548.4984,2.5549,4
15,7,27.79,12.75,269.6456,47.8091,34,5572.7859,2.5549,4
15,8,29.06,12.75,268.6893,46.358,39,5589.1972,2.5549,4
15,9,30.33,12.75,267.8007,44.9113,39,5599.1176,2.5549,4
15,10,31.6,12.75,266.9731,43.4707,44,5607.9182,2.5549,4
15,11,32.87,12.75,266.2009,42.0374,43,5617.1693,2.5549,4
15,12,34.14,12.75,265.4788,40.6128,46,5623.656,2.5549,4
15,13,35.41,12.75,264.8023,39.1978,46,5630.4774,2.5549,4
15,14,36.68,12.75,264.1675,37.7936,45,5637.8616,2.5549,4
15,15,37.95,12.75,263.5707,36.4008,45,5646.0775,2.5549,4
15,16,39.22,12.75,263.0088,35.0203,44,5654.9873,2.5549,4
15,17,40.49,12.75,262.4788,33.6526,42,5663.6703,2.5549,4
15,18,41.76,12.75,261.9783,32.2985,38,5671.9106,2.5549,4
15,19,43.03,12.75,261.5048,30.9582,34,5681.3827,2.5549,4
15,20,44.3,12.75,261.0564,29.6324,32,5694.5119,2.5549,4
15,21,45.57,12.75,260.6311,28.3213,28,5707.1291,2.5549,4
16,0,18.9,14.02,281.568,56.9262,16,5299.9304,2.5549,4
16,1,20.17,14.02,279.8028,55.5603,19,5341.5966,2.5549,4
16,2,21.44,14.02,278.1814,54.1765,21,5395.6948,2.5549,4
16,3,22.71,14.02,276.6891,52.7788,26,5448.1202,2.5549,4
16,4,23.98,14.02,275.3129,51.371,28,5499.7877,2.5549,4
16,5,25.25,14.02,274.0411,49.9563,28,5540.7863,2.5549,4
16,6,26.52,14.02,272.8635,48.5375,33,5570.2409,2.5549,4
16,7,27.79,14.02,271.7709,47.1172,35,5595.3584,2.5549,4
16,8,29.06,14.02,270.755,45.6976,40,5613.24,2.5549,4
16,9,30.33,14.02,269.8087,44.2805,42,5623.3074,2.5549,4
16,10,31.6,14.02,268.9255,42.8677,46,5634.4792,2.5549,4
16,11,32.87,14.02,268.0996,41.4607,49,5643.3125,2.5549,4
16,12,34.14,14.02,267.3261,40.0608,46,5651.1775,2.5549,4
16,13,35.41,14.02,266.6003,38.6693,49,5657.4577,2.5549,4
16,14,36.68,14.02,265.9181,37.2871,49,5664.9499,2.5549,4
16,15,37.95,14.02,265.2759,35.9153,45,5672.9643,2.5549,4
16,16,39.22,14.02,264.6705,34.5546,43,5681.444,2.5549,4
16,17,40.49,14.02,264.0988,33.2058,39,5690.1741,2.5549,4
16,18,41.76,14.02,263.5583,31.8694,36,5697.1609,2.5549,4
16,19,43.03,14.02,263.0466,30.5461,33,5705.8735,2.5549,4
16,20,44.3,14.02,262.5615,29.2364,26,5715.3116,2.5549,4
16,21,45.57,14.02,262.101,27.9406,26,5726.5846,2.5549,4
